"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Central African Republic","CAF","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.847","74.942","75","75.061","75.204","75.326","75.378","75.382","75.332","75.277","75.313","75.254","75.197","75.224","75.24","75.351","75.484","75.587","75.868","76.214","76.485","76.928","77.358","77.885","78.144","78.096","78.045","78.058","78.041","76.847","76.584","78.05","78.271","78.229","78.16",
"Canada","CAN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.824","64.851","64.429","65.019","65.222","64.859","65.379","65.809","66.557","67.149","66.65","66.91","67.439","67.558","67.564","67.685","67.921","67.909","65.245","65.361","65.933","65.965","66.011","65.665","65.614","65.085","65.785","65.952","66.198","62.188","64.488","65.787","65.822","64.566","63.961",
"Central Europe and the Baltics","CEB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.6500159356937","59.1552276843112","57.9409342977453","57.6777263634571","57.5077682778907","57.7083642782393","58.1729399235086","57.9143099449437","56.445553907204","55.1862641684866","54.4690369060368","53.8038912656259","54.1046921072278","54.2368074228759","55.0419534268491","56.0625359676369","57.6162951052618","58.7569354433534","56.7780870735932","56.4806814568469","56.5631450657028","56.7406786433001","56.9220954562865","58.210408779912","59.1043910021408","60.0515498102127","61.3959256378052","62.1416531947653","62.7459525650337","62.3218609178051","62.7068656071719","63.1585347458882","63.0067646463283","62.5654009273496","62.1706089030255",
"Switzerland","CHE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.755","76.666","75.856","74.528","74.944","76.079","75.112","75.931","75.933","75.889","76.041","74.569","73.821","72.918","72.125","72.777","73.502","73.289","72.402","71.002","71.692","71.355","70.827","70.735","70.784","70.965","71.139","71.062","70.686","70.062","69.466","69.544","69.88","68.81","68.006",
"Channel Islands","CHI","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.438","66.048","65.609","65.735","66.17","66.102","66.195","66.631","66.616","66.777","66.635","65.914","65.379","65.247","65.148","65.078","64.996","64.742","63.343","62.738","62.522","62.039","60.992","61.49","61.816","61.74","61.918","62.025","61.778","60.596","60.828","61.105","60.676","60.251","59.874",
"Chile","CHL","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.371","72.944","72.944","72.087","73.358","72.362","71.822","71.441","68.064","67.603","66.759","66.295","66.547","65.885","66.297","67.486","67.807","67.792","65.215","68.654","70.017","70.216","70.044","69.492","69.9","69.305","69.307","69.07","68.591","60.234","62.524","64.957","65.056","66.166","65.823",
"China","CHN","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.453","82.023","81.286","80.645","80.097","79.523","78.949","78.457","77.955","77.444","76.757","76.159","75.649","75.518","75.278","75.141","74.994","74.567","74.234","74.177","73.979","73.413","72.858","72.414","71.945","71.49","70.914","70.377","69.625","67.643","69.242","67.449","67.642","66.692","66.273",
"Cote d'Ivoire","CIV","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.229","77.016","77.566","78.094","78.719","78.629","78.561","78.337","77.449","76.483","75.561","74.674","73.765","73.074","72.35","71.712","70.857","70.112","69.285","68.586","67.513","66.793","70.109","71.468","72.669","73.865","72.171","71.754","71.341","71.248","72.464","73.284","73.106","72.876","72.849",
"Cameroon","CMR","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.83","77.747","77.604","77.84","78.056","78.511","78.677","78.806","78.894","78.946","78.998","79.695","80.457","81.26","81.965","82.573","83.177","81.96","80.658","79.287","78.246","77.18","76.066","74.907","74.427","73.982","73.547","73.104","72.629","71.359","71.081","71.868","71.854","71.805","71.592",
"Congo, Dem. Rep.","COD","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.65","69.602","69.537","69.255","69.279","70.012","70.624","70.809","70.763","70.785","70.809","70.919","71.097","71.218","71.251","70.511","69.764","69.017","68.239","67.491","66.736","66.02","65.754","65.511","65.242","64.829","64.404","64.143","63.97","62.409","62.651","63.779","63.623","63.528","63.313",
"Congo, Rep.","COG","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.218","58.08","57.874","57.554","57.497","57.529","57.7","57.716","57.4","57.137","56.739","56.874","56.614","56.386","56.237","56.185","55.813","55.773","55.749","56.033","56.099","56.294","56.334","56.665","56.629","56.547","56.278","56.183","56.338","52.562","53.13","56.975","57.103","57.068","56.998",
"Colombia","COL","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.552","75.66","77.296","77.849","77.024","74.87","74.663","72.262","67.828","68.057","72.495","71.638","73.109","72.295","73.107","72.352","71.52","71.556","72.989","73.189","74.092","74.368","73.954","73.956","73.98","73.076","72.603","71.957","70.424","66.485","69.068","69.368","70.102","69.801","70.616",
"Comoros","COM","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.439","49.749","50.044","50.284","50.381","50.408","50.506","50.356","50.099","49.828","49.603","49.444","49.126","48.639","49.215","49.783","50.331","50.903","51.506","52.111","52.695","53.26","53.869","54.415","55.486","56.5","57.467","58.347","59.236","59.568","60.843","61.734","61.637","61.512","61.718",
"Cabo Verde","CPV","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.498","71.638","70.822","70.155","69.249","68.331","67.249","66.257","65.283","64.34","63.178","62.068","60.895","59.986","58.983","58.006","57.042","56.01","54.849","59.854","59.593","59.404","59.172","58.918","58.702","58.536","58.376","54.481","56.2","50.668","51.734","56.123","55.982","55.641","55.557",
"Costa Rica","CRI","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.358","76.532","77.283","77.264","77.43","74.472","75.982","77.314","76.337","76.493","75.544","74.731","74.788","74.456","75.68","75.274","76.703","74.812","71.735","70.435","69.299","71.57","71.07","72.005","70.648","68.888","69.523","70.615","69.78","63.461","65.128","66.851","65.111","65.415","65.439",
"Caribbean small states","CSS","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.6652988696615","65.0096436189822","65.1162726425909","66.121795846316","67.336191174476","67.6862982746647","68.0645282136484","68.4796141894131","68.4645878895514","68.7691077510979","68.9800970093087","68.7477628911068","68.5832540422551","69.432802594328","69.7757937101506","70.3479625524066","70.7786482578666","70.3455024185372","68.9870152304987","68.6202433754618","68.3165565295837","67.9465030668746","67.9810121958612","68.1000786527359","68.0090554363662","67.0514719571201","66.8840050411534","66.444278112993","65.5416143969271","60.3321344317554","61.3078629115983","63.2949919329453","64.1252498057403","63.8489283669894","63.817032622759",
"Cuba","CUB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.943","65.569","66.255","66.825","67.321","67.792","68.035","68.407","68.345","68.475","68.744","68.868","69.071","68.627","67.842","67.186","66.665","66.563","67.773","66.42","65.801","65.317","65.305","65.69","65.59","65.76","65.654","65.435","65.157","61.794","62.242","64.757","64.607","64.324","63.997",
"Curacao","CUW","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.816","74.893","74.613","74.082","73.626","72.688","71.676","70.827","68.859","69.089","69.78","69.256","69.493","70.125","69.626","69.325","69.338","68.819","66.714","66.044","64.361","61.754","58.779","58.197","58.687","60.411","62.112","65.266","67.493","66.787","68.159","69.547","69.11","69.528","69.42",
"Czechia","CZE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.543","69.691","68.797","68.976","68.991","69.175","68.489","67.305","65.499","64.737","64.717","65.216","64.565","63.67","64.31","64.577","65.457","65.768","64.196","63.614","63.608","63.61","64.031","64.684","65.08","65.985","66.803","67.313","67.106","66.295","66.128","66.655","66.436","66.335","65.879",
